frame,time_s,x,y,z,conf,audio_rms,centroid_hz,peak_hz,est_rpm
262,8.733,214.67,78.62,0.00997,0.467,NaN,NaN,172.27,2583.98
263,8.767,215.69,79.07,0.00990,0.534,NaN,NaN,166.36,2495.35
264,8.800,217.16,79.42,0.00963,0.476,NaN,NaN,161.50,2422.49
265,8.833,217.86,79.62,0.00987,0.436,NaN,NaN,167.74,2516.17
266,8.867,217.80,79.97,0.01008,0.480,NaN,NaN,161.50,2422.49
267,8.900,217.82,80.48,0.01009,0.507,NaN,NaN,161.50,2422.49
268,8.933,217.75,81.02,0.01010,0.525,NaN,NaN,169.32,2539.82
269,8.967,217.52,81.83,0.01019,0.413,NaN,NaN,170.52,2557.80
270,9.000,217.55,83.01,0.01030,0.522,NaN,NaN,167.93,2519.01
271,9.033,217.70,83.94,0.01021,0.505,NaN,NaN,172.27,2583.98
272,9.067,217.90,84.84,0.01030,0.468,NaN,NaN,167.22,2508.28
273,9.100,217.57,85.72,0.01040,0.364,NaN,NaN,161.50,2422.49
274,9.133,177.20,127.74,0.00935,0.306,NaN,NaN,223.49,3352.37
275,9.167,151.40,154.78,0.00918,0.281,NaN,NaN,197.77,2966.60
276,9.200,135.02,172.52,0.00909,0.346,NaN,NaN,161.50,2422.49
277,9.233,133.81,173.47,0.00901,NaN,NaN,NaN,168.46,2526.89
278,9.267,122.51,187.35,0.00925,0.277,NaN,NaN,161.50,2422.49
279,9.300,120.99,188.71,0.00918,NaN,NaN,NaN,161.50,2422.49
280,9.333,115.71,195.70,0.00934,0.286,NaN,NaN,171.76,2576.41
281,9.367,114.08,197.23,0.00928,NaN,NaN,NaN,172.27,2583.98
282,9.400,112.19,201.68,0.00918,0.311,NaN,NaN,163.39,2450.87
283,9.433,111.33,203.71,0.00925,0.315,NaN,NaN,172.27,2583.98
284,9.467,111.00,204.80,0.00933,0.346,NaN,NaN,164.78,2471.69
285,9.500,109.42,206.41,0.00928,NaN,NaN,NaN,161.50,2422.49
286,9.533,107.84,208.02,0.00923,NaN,NaN,NaN,167.60,2513.96
287,9.567,170.32,151.03,0.00926,0.355,NaN,NaN,172.27,2583.98
288,9.600,195.20,128.85,0.00933,0.336,NaN,NaN,167.56,2513.33
289,9.633,196.30,128.02,0.00929,NaN,NaN,NaN,170.90,2563.48
290,9.667,197.41,127.19,0.00924,NaN,NaN,NaN,168.94,2534.15
291,9.700,198.51,126.37,0.00920,NaN,NaN,NaN,161.50,2422.49
292,9.733,199.61,125.54,0.00915,NaN,NaN,NaN,163.43,2451.50
293,9.767,217.28,111.16,0.00926,0.294,NaN,NaN,165.64,2484.62
294,9.800,169.75,155.91,0.00918,0.270,NaN,NaN,161.50,2422.49
295,9.833,169.89,156.04,0.00914,NaN,NaN,NaN,166.74,2501.03
296,9.867,170.03,156.18,0.00909,NaN,NaN,NaN,172.27,2583.98
297,9.900,170.16,156.31,0.00905,NaN,NaN,NaN,168.42,2526.26
298,9.933,203.62,125.81,0.00934,0.327,NaN,NaN,170.04,2550.55
299,9.967,214.27,116.27,0.00942,0.518,NaN,NaN,169.81,2547.08
300,10.000,220.02,111.73,0.00943,0.558,NaN,NaN,161.50,2422.49
301,10.033,223.93,109.58,0.00943,0.417,NaN,NaN,161.50,2422.49
302,10.067,225.53,108.42,0.00941,NaN,NaN,NaN,161.50,2422.49
303,10.100,227.13,107.25,0.00938,NaN,NaN,NaN,171.95,2579.25
304,10.133,228.73,106.09,0.00935,NaN,NaN,NaN,161.50,2422.49
305,10.167,230.33,104.93,0.00933,NaN,NaN,NaN,161.50,2422.49
306,10.200,231.93,103.76,0.00930,NaN,NaN,NaN,164.49,2467.28
307,10.233,230.36,108.00,0.00943,0.252,NaN,NaN,172.27,2583.98
308,10.267,231.87,106.99,0.00941,NaN,NaN,NaN,161.50,2422.49
309,10.300,233.38,105.99,0.00939,NaN,NaN,NaN,167.79,2516.80
